"num_actions","prev_action"
"1180","Click Pop Up Home VIP"
"1111","Click on Recargas y Servicios category, VIP option"
"882","Product type VIP"
"845","No determinado"
"831","Click VIP 100"
"742","Click on VIP category, VIP option"
"324","Click on vip Tab"
"125","Clicked carousel image (https://tnc.undostres.com.mx/miembrosvip-100/?product_type=vip&utm_source=banner&utm_campaign=vip100_20230817_20230831)"
"102","click on Banner from hamburguer menu."
"92","Click notificacion home VIP"
"69","Click on back arrow, from undefined option"
"44","Click on VIP category, VIP option"
"20","Click on back arrow, from VIP option"
"14","Clicked carousel image (https://tnc.undostres.com.mx/miembrosvip-100/?product_type=vip&utm_source=banner_mobile&utm_campaign=vip100_20231002_null)"
"10","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?utm_source=banner_mobile&utm_medium=banner&utm_campaign=DiaVIP_20230922_20230922)"
"9","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?product_type=vip&utm_source=banner&utm_medium=banner_app&utm_campaign=_DiaVIP_Warming_20231025_20231027)"
"9","Clicked carousel image (undefined)"
"5","Clicked carousel image (https://tnc.undostres.com.mx/diavip/?product_type=vip&utm_source=banner&utm_medium=banner_mobile_web&utm_campaign=_DiaVIP_Warming_20231025_20231027)"
"5","click on Banner VIP from Home."
